aid,sid,title,path,url,uid,timer,timestamp
29872,-3CRo03MrlfXtsgqPggj0dhYG7CGsuZb5OBehvJIETU,Vlag,flag/flag/stop_met_oefenen/7288,http://localhost:3205/node/7288/take/1,1,280,1649407212
29865,-3CRo03MrlfXtsgqPggj0dhYG7CGsuZb5OBehvJIETU,Vlag,flag/flag/stop_met_oefenen/7287,http://localhost:3205/node/7287/take/1,1,448,1649407171
29858,-3CRo03MrlfXtsgqPggj0dhYG7CGsuZb5OBehvJIETU,Vlag,flag/flag/stop_met_oefenen/7288,http://localhost:3205/node/7288/take/1,1,264,1649407047
29859,-3CRo03MrlfXtsgqPggj0dhYG7CGsuZb5OBehvJIETU,Vlag,flag/flag/stop_met_oefenen/7288,http://localhost:3205/node/7288/take/1,1,311,1649407047
29852,-3CRo03MrlfXtsgqPggj0dhYG7CGsuZb5OBehvJIETU,Vlag,flag/flag/stop_met_oefenen/7287,http://localhost:3205/node/7287/take/2,1,525,1649406989
29842,-3CRo03MrlfXtsgqPggj0dhYG7CGsuZb5OBehvJIETU,Vlag,flag/flag/stop_met_oefenen/7288,http://localhost:3205/node/7288/take/1,1,233,1649406370
29843,-3CRo03MrlfXtsgqPggj0dhYG7CGsuZb5OBehvJIETU,Vlag,flag/flag/stop_met_oefenen/7288,http://localhost:3205/node/7288/take/1,1,268,1649406370
29835,-3CRo03MrlfXtsgqPggj0dhYG7CGsuZb5OBehvJIETU,Vlag,flag/flag/stop_met_oefenen/7288,http://localhost:3205/node/7288/take/1,1,217,1649406341
29836,-3CRo03MrlfXtsgqPggj0dhYG7CGsuZb5OBehvJIETU,Vlag,flag/flag/stop_met_oefenen/7288,http://localhost:3205/node/7288/take/1,1,291,1649406341
29828,-3CRo03MrlfXtsgqPggj0dhYG7CGsuZb5OBehvJIETU,Vlag,flag/flag/stop_met_oefenen/7288,http://localhost:3205/node/7288/take/1,1,233,1649406308
29829,-3CRo03MrlfXtsgqPggj0dhYG7CGsuZb5OBehvJIETU,Vlag,flag/flag/stop_met_oefenen/7288,http://localhost:3205/node/7288/take/1,1,267,1649406308
29821,-3CRo03MrlfXtsgqPggj0dhYG7CGsuZb5OBehvJIETU,Vlag,flag/flag/stop_met_oefenen/7292,http://localhost:3205/node/7292/take/1,1,232,1649406263
29822,-3CRo03MrlfXtsgqPggj0dhYG7CGsuZb5OBehvJIETU,Vlag,flag/flag/stop_met_oefenen/7292,http://localhost:3205/node/7292/take/1,1,283,1649406263
29814,-3CRo03MrlfXtsgqPggj0dhYG7CGsuZb5OBehvJIETU,Vlag,flag/flag/stop_met_oefenen/7287,http://localhost:3205/node/7287/take/1,1,231,1649406103
29815,-3CRo03MrlfXtsgqPggj0dhYG7CGsuZb5OBehvJIETU,Vlag,flag/flag/stop_met_oefenen/7287,http://localhost:3205/node/7287/take/1,1,279,1649406103
29808,-3CRo03MrlfXtsgqPggj0dhYG7CGsuZb5OBehvJIETU,Vlag,flag/flag/stop_met_oefenen/7288,http://localhost:3205/node/7288/take/1,1,220,1649406088
29791,-3CRo03MrlfXtsgqPggj0dhYG7CGsuZb5OBehvJIETU,Vlag,flag/flag/stop_met_oefenen/7288,http://localhost:3205/node/7288/take/1,1,233,1649406023
29792,-3CRo03MrlfXtsgqPggj0dhYG7CGsuZb5OBehvJIETU,Vlag,flag/flag/stop_met_oefenen/7288,http://localhost:3205/node/7288/take/1,1,279,1649406023
29784,-3CRo03MrlfXtsgqPggj0dhYG7CGsuZb5OBehvJIETU,Vlag,flag/flag/stop_met_oefenen/7287,http://localhost:3205/node/7287/take/1,1,254,1649405991
29785,-3CRo03MrlfXtsgqPggj0dhYG7CGsuZb5OBehvJIETU,Vlag,flag/flag/stop_met_oefenen/7287,http://localhost:3205/node/7287/take/1,1,275,1649405991
29778,-3CRo03MrlfXtsgqPggj0dhYG7CGsuZb5OBehvJIETU,Vlag,flag/flag/stop_met_oefenen/7312,http://localhost:3205/node/7312/take/1,1,227,1649405933
29771,-3CRo03MrlfXtsgqPggj0dhYG7CGsuZb5OBehvJIETU,Vlag,flag/flag/stop_met_oefenen/7310,http://localhost:3205/node/7310/take/1,1,269,1649405583
29772,-3CRo03MrlfXtsgqPggj0dhYG7CGsuZb5OBehvJIETU,Vlag,flag/flag/stop_met_oefenen/7310,http://localhost:3205/node/7310/take/1,1,277,1649405583
29758,JQAVbHtiIas5Jxz1_xfdy7Y8R5xEblkQHCqnmTTqR5Y,Vlag,flag/flag/stop_met_oefenen/7292,http://localhost:3205/node/7292/take/1,1839,184,1649405511
29753,JQAVbHtiIas5Jxz1_xfdy7Y8R5xEblkQHCqnmTTqR5Y,Vlag,flag/flag/stop_met_oefenen/7288,http://localhost:3205/node/7288/take/1,1839,198,1649405506
29740,xNW6ApUR6d30XOD6qDMgdDqCCfDHglPfMlhOWCoN2ng,Vlag,flag/flag/stop_met_oefenen/7287,http://localhost:3205/node/7287/take/1,1,205,1649405448
29308,PiGkxKOnxjA6iR_mpFvGBJD8mKu1BagLdyAjfzqv8Mw,Vlag,flag/flag/stop_met_oefenen/7288,http://localhost:3205/node/7288/take/1,1,290,1649245187
28553,2CLw7M926DHsQXEF-XGixgIKKPmU5WC_SZYVmnpz6Ao,Vlag,flag/flag/stop_met_oefenen/7310,,1,100,1648825189
